Designator,Mid X,Mid Y,Rotation,Layer
C1,168.1,-46.95,0.0,top
C10,122.415,-80.23225,270.0,top
C11,118.365,-80.21225,270.0,top
C12,114.065,-73.01225,270.0,top
C13,114.0,-64.956,270.0,top
C14,173.39825,-65.495,0.0,top
C15,173.56825,-71.245,0.0,top
C2,168.1,-55.0,0.0,top
C3,114.15,-54.656,90.0,top
C4,119.935,-54.87975,90.0,top
C5,124.485,-54.82975,90.0,top
C6,141.2625,-65.02,0.0,top
C7,141.3,-70.9,180.0,top
C8,140.6,-56.656,0.0,top
C9,126.665,-80.06225,270.0,top
IC1,124.15,-68.044,0.0,top
J10_ADC1,45.37,-30.68,0.0,top
J11_ADC3,58.73,-30.78,0.0,top
J12,174.0,-84.4,270.0,top
J13,174.0,-99.6,270.0,top
J1_BARREL,173.8,-34.9,180.0,top
J2_JTAG,134.0425,-52.506,90.0,top
J3_DAC,126.69,-39.52,180.0,top
J8_SDCARD,94.42,-60.8,270.0,top
J9_ADC2,73.53,-30.68,0.0,top
R1,137.75,-81.31,270.0,top
R2,129.8,-79.766,90.0,top
SW1,143.5,-80.8,270.0,top
TP13,160.8,-56.65,0.0,top
TP14,166.0,-77.2,0.0,top
TP19,131.5,-129.8,0.0,top
TP20,167.1,-108.3,0.0,top
TP21,157.5,-72.6,0.0,top
TP22,88.8,-67.8,0.0,top
TP23,88.5,-46.6,0.0,top
U101_LP_STANDALONE,59.5,-70.8,180.0,top
U29,166.7,-68.55,270.0,top
U30_BACKUP,129.0125,-58.6,0.0,top
U31_ESP32,124.15,-110.2275,270.0,top
Y1,134.70625,-67.935,90.0,top
